79	2023-08-24T20:28:10.5111456-04:00			 	786	0	True
80	2023-08-24T20:28:10.5209890-04:00			 	726	0	True
81	2023-08-24T20:28:10.5743195-04:00			 	2019	0	True
82	2023-08-24T20:28:10.5887940-04:00			 	355	0	True
83	2023-08-24T20:28:10.6186389-04:00			 	753	0	True
84	2023-08-24T20:28:10.6186389-04:00			 	1084	0	True
85	2023-08-24T20:28:10.6910846-04:00	A01	30801	A01 30801	2513	70	False
86	2023-08-24T20:28:10.7098717-04:00	A01	30786	A01 30786	965	57	False
87	2023-08-24T20:28:10.7193011-04:00			 	435	0	True
88	2023-08-24T20:28:10.7978068-04:00			 	336	0	True
89	2023-08-24T20:28:10.8078064-04:00			 	675	0	True
90	2023-08-24T20:28:10.8378803-04:00			 	189	0	True
91	2023-08-24T20:28:10.8467770-04:00			 	450	0	True
92	2023-08-24T20:28:10.9132936-04:00	A01	30781	A01 30781	210	78	False
93	2023-08-24T20:28:10.9438510-04:00			 	1112	0	True
94	2023-08-24T20:28:10.9438477-04:00			 	978	0	True
95	2023-08-24T20:28:11.0162587-04:00			 	686	0	True
96	2023-08-24T20:28:11.0273358-04:00			 	455	0	True
97	2023-08-24T20:28:11.0471597-04:00			 	370	0	True
98	2023-08-24T20:28:11.1233837-04:00	A01	30783	A01 30783	241	78	False
99	2023-08-24T20:28:11.1341655-04:00	A01	30797	A01 30797	1643	74	False
100	2023-08-24T20:28:11.1541921-04:00	A01	30788	A01 30788	739	76	False
101	2023-08-24T20:28:11.2345734-04:00	A01	30784	A01 30784	218	51	False
102	2023-08-24T20:28:11.2467609-04:00			 	354	0	True
103	2023-08-24T20:28:11.2964819-04:00			 	852	0	True
104	2023-08-24T20:28:11.2964823-04:00			 	509	0	True
105	2023-08-24T20:28:11.2968357-04:00			 	325	0	True
106	2023-08-24T20:28:11.3642617-04:00	A01	30785	A01 30785	198	78	False
107	2023-08-24T20:28:11.3728435-04:00			 	530	0	True
108	2023-08-24T20:28:11.4170484-04:00			 	306	0	True
109	2023-08-24T20:28:11.4170484-04:00			 	2186	0	True
110	2023-08-24T20:28:11.4536685-04:00			 	592	0	True
111	2023-08-24T20:28:11.4825094-04:00			 	882	0	True
112	2023-08-24T20:28:11.4825161-04:00			 	1623	0	True
113	2023-08-24T20:28:11.5619720-04:00	A01	30787	A01 30787	221	78	False
114	2023-08-24T20:28:11.5732795-04:00			 	1244	0	True
115	2023-08-24T20:28:11.6010487-04:00			 	205	0	True
116	2023-08-24T20:28:11.6223294-04:00			 	389	0	True
117	2023-08-24T20:28:11.6743868-04:00	A01	30790	A01 30790	443	57	False
118	2023-08-24T20:28:11.7027881-04:00	A01	30796	A01 30796	971	75	False
119	2023-08-24T20:28:11.7026639-04:00			 	436	0	True
120	2023-08-24T20:28:11.7233510-04:00			 	342	0	True
121	2023-08-24T20:28:11.7834905-04:00	A01	30789	A01 30789	218	78	False
122	2023-08-24T20:28:11.8058514-04:00			 	441	0	True
123	2023-08-24T20:28:11.8058573-04:00			 	683	0	True
124	2023-08-24T20:28:11.8931859-04:00			 	392	0	True
125	2023-08-24T20:28:11.9027392-04:00			 	382	0	True
126	2023-08-24T20:28:11.9221621-04:00			 	526	0	True
127	2023-08-24T20:28:12.0011664-04:00	A01	30791	A01 30791	221	78	False
128	2023-08-24T20:28:12.0110349-04:00			 	353	0	True
129	2023-08-24T20:28:12.0453962-04:00	A01	30792	A01 30792	288	51	False
130	2023-08-24T20:28:12.0562428-04:00			 	1377	0	True
131	2023-08-24T20:28:12.0652590-04:00			 	201	0	True
132	2023-08-24T20:28:12.1190129-04:00	A01	30808	A01 30808	1856	57	False
133	2023-08-24T20:28:12.1388385-04:00			 	258	0	True
134	2023-08-24T20:28:12.1489770-04:00			 	668	0	True
135	2023-08-24T20:28:12.2221564-04:00	A01	30793	A01 30793	215	78	False
136	2023-08-24T20:28:12.2467709-04:00			 	592	0	True
137	2023-08-24T20:28:12.2659291-04:00			 	418	0	True
138	2023-08-24T20:28:12.2848573-04:00			 	275	0	True
139	2023-08-24T20:28:12.2848836-04:00			 	1188	0	True
140	2023-08-24T20:28:12.3338959-04:00	A01	30794	A01 30794	214	51	False
141	2023-08-24T20:28:12.3641934-04:00			 	311	0	True
142	2023-08-24T20:28:12.3642047-04:00	A01	30798	A01 30798	520	58	False
143	2023-08-24T20:28:12.3963519-04:00			 	617	0	True
144	2023-08-24T20:28:12.3964154-04:00			 	526	0	True
145	2023-08-24T20:28:12.4383598-04:00	A01	30799	A01 30799	546	78	False
146	2023-08-24T20:28:12.4489477-04:00	A01	30795	A01 30795	212	52	False
147	2023-08-24T20:28:12.4790335-04:00			 	754	0	True
148	2023-08-24T20:28:12.4891006-04:00			 	744	0	True
149	2023-08-24T20:28:12.5482152-04:00			 	2196	0	True
150	2023-08-24T20:28:12.5601963-04:00			 	216	0	True
151	2023-08-24T20:28:12.5934400-04:00			 	990	0	True
152	2023-08-24T20:28:12.5934860-04:00			 	2622	0	True
153	2023-08-24T20:28:12.6617876-04:00			 	222	0	True
154	2023-08-24T20:28:12.6737134-04:00			 	649	0	True
155	2023-08-24T20:28:12.6748200-04:00			 	248	0	True
156	2023-08-24T20:28:12.6840695-04:00			 	779	0	True
157	2023-08-24T20:28:12.7765033-04:00			 	1113	0	True
158	2023-08-24T20:28:12.7775430-04:00	A01	30804	A01 30804	754	74	False
159	2023-08-24T20:28:12.8174644-04:00			 	1332	0	True
160	2023-08-24T20:28:12.8174927-04:00			 	545	0	True
161	2023-08-24T20:28:12.8388970-04:00			 	155	0	True
162	2023-08-24T20:28:12.8838526-04:00	A01	30800	A01 30800	212	58	False
163	2023-08-24T20:28:12.8838689-04:00	A01	30803	A01 30803	538	52	False
164	2023-08-24T20:28:12.9224794-04:00			 	681	0	True
165	2023-08-24T20:28:12.9224800-04:00			 	1274	0	True
166	2023-08-24T20:28:12.9839210-04:00	A01	30807	A01 30807	876	78	False
